Question,Detected_answer
Which NFL team represented the AFC at Super Bowl 50?,[CLS]
Which NFL team represented the NFC at Super Bowl 50?,[CLS]
Where did Super Bowl 50 take place?,No answer found
Which NFL team won Super Bowl 50?,[CLS]
What color was used to emphasize the 50th anniversary of the Super Bowl?,No answer found
What was the theme of Super Bowl 50?,Super Bowl 50
What day was the game played on?,What day
What is the AFC short for?,AFC
What was the theme of Super Bowl 50?,Super Bowl 50
What does AFC stand for?,AFC
What day was the Super Bowl played on?,No answer found
Who won Super Bowl 50?,[CLS]
What venue did Super Bowl 50 take place in?,[CLS]
What city did Super Bowl 50 take place in?,No answer found
"If Roman numerals were used, what would Super Bowl 50 have been called?",what would Super Bowl 50
Super Bowl 50 decided the NFL champion for what season?,50
What year did the Denver Broncos secure a Super Bowl title for the third time?,What year did the Denver Broncos secure a Super Bowl title for the third time
What city did Super Bowl 50 take place in?,No answer found
What stadium did Super Bowl 50 take place in?,No answer found
What was the final score of Super Bowl 50? ,50
"What month, day and year did Super Bowl 50 take place? ",month
What year was Super Bowl 50?,[CLS]
What team was the AFC champion?,No answer found
What team was the NFC champion?,No answer found
Who won Super Bowl 50?,[CLS]
Super Bowl 50 determined the NFL champion for what season?,50
Which team won Super Bowl 50.,Which team won Super Bowl 50
Where was Super Bowl 50 held?,[CLS]
The name of the NFL championship game is?,[CLS]
What 2015 NFL team one the AFC playoff?,No answer found
Which Carolina Panthers player was named Most Valuable Player?,No answer found
How many appearances have the Denver Broncos made in the Super Bowl?,No answer found
What year was the Carolina Panthers franchise founded?,No answer found
What team did the Panthers defeat?,Panthers
Who did the Broncos prevent from going to the Super Bowl?,Broncos prevent from going to the Super Bowl
Who did the Panthers beat in the NFC Championship Game?,No answer found
Who lost to the Broncos in the AFC Championship?,Broncos in the AFC Championship
Who were the defending Super Bowl champions?,No answer found
How many teams have been in the Super Bowl eight times?,eight
Who was this season's NFL MVP?,[CLS] Who was this season ' s NFL MVP
What was the win/loss ratio in 2015 for the Carolina Panthers during their regular season?,No answer found
Which Carolina Panthers team member was picked as the team's MVP in 2015? ,2015
What were the win/loss game stats for the Denver Bronco's regular season in 2015?,2015
How many teams have played in the Super Bowl eight times?,eight
Which team did not get a chance to defend their Super Bowl XLIX win in Super Bowl 50?,Super Bowl XLIX win in Super Bowl 50
Who is the quarterback for the Panthers?,No answer found
Who did Carolina beat in the NFC championship game?,[CLS]
How many times have the Panthers been in the Super Bowl?,No answer found
Who did Denver beat in the AFC championship?,No answer found
Who was the Most Valuable Player for the 2015 NFL season?,2015
Who did Denver beat in the 2015 AFC Championship game?,No answer found
Who did the Carolina Panthers beat in the 2015 NFC Championship game?,No answer found
Who was the 2015 NFL MVP?,No answer found
Who did the Panthers beat to become the NFC champs?,No answer found
What year did the Carolina Panthers form?,What year
Who was the Super Bowl 50 MVP?,No answer found
How many fumbles did Von Miller force in Super Bowl 50?,50
Which team held the scoring lead throughout the entire game?,[CLS]
Which Denver linebacker was named Super Bowl MVP?,Denver linebacker was named Super Bowl MVP
How many solo tackles did Von Miller make at Super Bowl 50?,50
Who was limited by Denver's defense?,Denver
How many times was Cam Newton sacked?,[CLS]
Who won the Super Bowl MVP?,[CLS]
How many turnovers did Cam Newton have?,turnovers
How many fumbles did Von Miller force?,No answer found
Who was given the esteemed status of MVP for Super Bowl 50?,MVP for Super Bowl 50
What position does Von Miller play for the Denver Broncos?,[CLS]
What was the number of solo tackles that Von Miller had in Super Bowl 50?,50
How many forced fumbles did Von Miller have during the Super Bowl 50 game?,50
Who won the MVP for the Super Bowl?,[CLS]
How many tackles did Von Miller get during the game?,No answer found
How many times was Cam Newton sacked in Super Bowl 50?,50
How many times did the Denver defense force Newton into turnovers?,Denver defense force Newton into turnovers
Which Newton turnover resulted in seven points for Denver?,Denver
Who was the Most Valuable Player of Super Bowl 50?,50
What position does Von Miller play?,[CLS]
How many times was the Panthers' quarterback sacked?,No answer found
How many times did the Broncos cause turnovers in the game?,No answer found
What Denver player caused two fumbles for the Panthers?,No answer found
How many tackles did Von Miller accomlish by himself in the game?,No answer found
Which network broadcasted Super Bowl 50 in the U.S.?,[CLS]
What was the average cost for a 30 second commercial during Super Bowl 50?,No answer found
Which group headlined the Super Bowl 50 halftime show?,[CLS]
Which performers joined the headliner during the Super Bowl 50 halftime show?,[CLS]
At which Super Bowl did Beyonce headline the halftime show?,Super Bowl
Who was the broadcaster for Super Bowl 50 in the United States?,[CLS]
What was the average cost of a 30-second commercial?,30
What halftime performer previously headlined Super Bowl XLVII?,No answer found
What halftime performer previously headlined Super Bowl XLVIII?,No answer found
Who was the main performer at this year's halftime show?,[CLS]
Which network broadcasted the 50th Super Bowl game? ,No answer found
What was the average cost for a TV ad lasting 30 seconds during Super Bowl 50?,30 seconds
Who was the male singer who performed as a special guest during Super Bowl 50?,[CLS]
What ranking does the Super Bowl 50 halftime show have on the list of most watched TV broadcasts?,50
What station aired the Super Bowl?,[CLS]
How much money did a 1/2 minute commercial cost?,No answer found
What band headlined half-time during Super Bowl 50?,[CLS]
What two artists came out with Coldplay during the half-time show?,[CLS]
Who broadcast the Super Bowl on TV?,No answer found
Who headlined the halftime show for Super Bowl 50?,[CLS]
